"ArchivePath","Source","MB"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-inventory-available\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-linear-equation\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-printer-rate\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-probability-without-replacement\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ratio-mixture\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.response.json","0.004"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-schedule-finish\primitive_cache.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.response.json","0.002"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-subscription-total\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\baseline.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-ticket-table\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-tiered-pricing\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.prompt.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\baseline.response.txt","0"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.prompt.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.prompt.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.response.json","0.005"
"small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.response.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113125\compute-weighted-average\primitive_cache.response.txt","0.001"
"small-model-memory-lab\runs\primitive-cache-20260604-113300\prefill.response.json","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113300\prefill.response.json","0.003"
"small-model-memory-lab\runs\primitive-cache-20260604-113300\primitive_prefix.txt","C:\Projects\small-model-memory-lab\runs\primitive-cache-20260604-113300\primitive_prefix.txt","0.001"
